cfg,W,tpd,ntp,lev,stop,sltp,maxdist,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,port_growth,port_DD,port_posMo
39,2700,0.29,15,1.0,0.017,2,0.0075,0.2083724719817417,1.1989515784582916,1.793343773625697,4.102760662361146,0.5094626790179191,0.18633282232923998,0.3338823200502292,0.0006841924552296597,0.05433178575510578,95.44800521881922,18.96049098999837,62.10526315789474
40,2700,0.28,15,1.0,0.019,2,0.0075,0.2064278160766262,1.1873355290387146,1.7919048605768326,4.1291661537009094,0.499191638404888,0.18500231699246972,0.33427452937052626,0.009894219037084095,0.052201013694094245,95.18319538052667,18.0968089580558,62.10526315789474
41,1700,0.3,13,1.0,0.005,1,0.0,0.29725053481250785,0.9456314898394833,1.7679524595379146,1.773255858691348,0.8258564350549176,0.07386942141689334,1.0727803933046096,0.1673722801126971,0.040961680663326616,95.68602746210027,18.39301724906108,62.10526315789474
42,2700,0.28,15,1.0,0.017,2,0.0075,0.20553164802909563,1.1945608627818687,1.7937439802749595,4.127417744451416,0.5039588208799362,0.18696115859466156,0.32085025848246085,0.008957766958155755,0.053714184998192804,95.00214375544178,18.702921329232968,62.10526315789474
43,1700,0.25,15,1.0,0.005,1,0.015,0.31805971533317856,0.964491269050634,1.8143027500393756,1.8743133390048778,0.8468811990632163,-0.038936678222782684,1.0696006755892036,0.19125169319061075,0.04039594130306301,95.36078468840732,21.64393699515378,62.10526315789474
44,1700,0.29,15,1.0,0.005,3,0.0,0.2807911640114422,0.9021556032491962,1.7423450327980081,1.9969556651423552,0.8232204448342899,0.05508580328093626,1.0619274758749038,0.15091719633412048,0.04165765280950162,95.21299200811778,18.41982774380607,63.1578947368421
45,2700,0.29,15,1.0,0.02,2,0.0075,0.20637387916785999,1.197829354551955,1.8197310060275602,4.032905249641743,0.502206972844031,0.1824391959196181,0.3502117522333279,-0.0006161124040959809,0.05206090593280632,94.88248047717525,18.398524099823675,62.10526315789474
46,2800,0.26,14,1.0,0.008,2,0.0075,0.14434619178739672,1.2730294472923585,1.9505794317195209,3.5462113428878794,0.44594774174782903,0.2233116799549002,0.42726811252769115,0.06609965036081711,0.04797087413789636,98.41509564606142,20.656804486786086,61.05263157894737
47,1700,0.29,15,1.0,0.005,3,0.015,0.29596585017218846,0.9363766806173199,1.7775085540794984,2.0935231083108192,0.8342404446023446,-0.050738693565570814,1.0867801544507993,0.16614234150353546,0.04165765280950162,95.1672426365318,21.636371494638908,63.1578947368421
48,1700,0.29,15,1.0,0.005,4,0.0,0.2807911640114422,0.9021556032491962,1.741764819542221,1.9933952691238779,0.823220444834289,0.05501856248502923,1.0619274758749055,0.15091719633412026,0.04165765280950162,95.07369830905046,18.41982774380604,63.1578947368421
49,2100,0.3,14,1.0,0.017,2,0.015,0.611316509191083,0.9243493588871661,1.405082105162045,2.7757185241540623,0.887266852749349,0.31038470747603486,0.5163985526862667,-0.019584663485361253,0.014804749704578235,105.05878428920657,21.89616822676327,63.1578947368421
50,1700,0.29,15,1.0,0.005,4,0.015,0.29596585017218846,0.9363766806173199,1.7768995965919898,2.0898642372022875,0.8342404446023448,-0.050738693565571036,1.0867801544507971,0.16614234150353546,0.041657652809500734,95.03384302178246,21.63637149463892,63.1578947368421
51,2000,0.3,8,1.0,0.004,1,0.005,0.318337065309914,0.8896775437974331,1.1892884351289714,3.8386735776377234,0.8708556336731517,-0.040615950700200076,0.8068249333840529,0.02225320468676606,0.08270081197493062,94.72383235822079,21.400076826907632,65.26315789473685
52,2100,0.3,15,1.0,0.014,3,0.015,0.6072856113515253,0.9110143608515751,1.3884458283944445,2.7115220341576802,0.8681385190540134,0.3121626395258956,0.5488494053477555,-0.007221740034089819,0.019537011913931313,104.63708630203865,21.527372314511474,63.1578947368421
53,1700,0.29,14,1.0,0.005,1,0.015,0.305611075824074,0.973687362520405,1.801030933700753,1.8530150555742617,0.8373111511857236,-0.0367568968982217,1.1199813891380477,0.18410760899352607,0.040424816778656725,95.18460159532559,21.46344679411001,62.10526315789474
54,1700,0.3,15,1.0,0.005,3,0.02,0.29076663047110785,0.9252476610900486,1.7609068068617066,2.143419260100571,0.8266056692583317,-0.050867279281399114,1.1055624972076448,0.15789503547313988,0.04218967375098437,95.00451216058693,21.680718465800542,63.1578947368421
55,2100,0.3,14,1.0,0.017,4,0.015,0.6213224641938688,0.9343448222444866,1.3946917292334837,2.739962632284223,0.8756268959489362,0.31538394240280754,0.5194803685032279,-0.01832330673685556,0.014804749704578013,104.89752108154939,21.89616822676328,63.1578947368421
56,2800,0.28,13,1.0,0.008,2,0.0075,0.13786339787806456,1.2633988819716984,1.9818429191736642,3.505556608365513,0.44526844456704784,0.2148987595207692,0.4299925406560159,0.07775584268131497,0.04907529249390419,98.22767452133053,20.543586551814276,61.05263157894737
57,2000,0.3,15,1.0,0.012,1,0.005,0.2320738619720606,0.9953161260898695,1.1557622620775705,3.9495193655957195,0.7636475826074434,0.09255902996267285,0.8877308490847711,-0.05018497279205947,0.04265148288611886,94.4903249610679,20.101528020079186,62.10526315789474
